reward_today,future_reward,delay,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,guide.started,go_ahead.started,guidelines.started,guide.stopped,go_ahead.keys,go_ahead.rt,go_ahead.duration,task.started,fixation.started,text.started,key_resp.started,fixation.stopped,task.stopped,key_resp.keys,key_resp.rt,key_resp.duration,thank_you.started,thx.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.016683400026522577,0.02866589999757707,0.02866589999757707,24.200718800071627,space,24.156072600046173,None,,,,,,,,,,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
11,30,7,0,0,0,0,24.24757840007078,,,,,,,,,24.224402800085954,24.24757840007078,25.202421900001355,25.202421900001355,25.253486100002192,26.50407839997206,l,1.2927602999843657,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
15,35,13,0,1,1,1,26.521874299971387,,,,,,,,,26.50531590008177,26.521874299971387,27.517594899982214,27.517594899982214,27.53440500004217,28.768336200038902,l,1.2460435000248253,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
40,55,62,0,2,2,3,28.793986800010316,,,,,,,,,28.770116699975915,28.793986800010316,29.781936799990945,29.781936799990945,29.79997270007152,32.28336320002563,t,2.4856462000170723,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
27,50,21,0,3,3,2,32.30243959999643,,,,,,,,,32.28535150003154,32.30243959999643,33.29810220003128,33.29810220003128,33.31415210000705,34.744611700065434,l,1.4296354000689462,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
49,60,89,0,4,4,4,34.76241690001916,,,,,,,,,34.74541039997712,34.76241690001916,35.75932740001008,35.75932740001008,35.77576830005273,36.3776517000515,t,0.6078049999196082,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
78,80,162,0,5,5,6,36.39237160002813,,,,,,,,,36.378942299983464,36.39237160002813,37.39133690006565,37.39133690006565,37.39133690006565,38.008896599989384,t,0.6094106000382453,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
67,75,119,0,6,6,5,38.02414500003215,,,,,,,,,38.0099395000143,38.02414500003215,39.02299760002643,39.02299760002643,39.039725200040266,40.10845719999634,t,1.0796122999163345,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
40,55,62,1,0,7,3,40.12278590002097,,,,,,,,,40.109452400007285,40.12278590002097,41.120998300029896,41.120998300029896,41.13868640002329,42.25577320007142,t,1.1246244000503793,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
27,50,21,1,1,8,2,42.27126389998011,,,,,,,,,42.257145400042646,42.27126389998011,43.269793100073,43.269793100073,43.28597990004346,44.35410530003719,l,1.0733000000473112,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
49,60,89,1,2,9,4,44.368904900038615,,,,,,,,,44.35591220005881,44.368904900038615,45.36754910007585,45.36754910007585,45.36754910007585,45.969388899975456,t,0.5956465000053868,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
11,30,7,1,3,10,0,45.98558920004871,,,,,,,,,45.97102130006533,45.98558920004871,46.98178330005612,46.98178330005612,46.998842300032265,47.78400220000185,l,0.7944934999104589,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
15,35,13,1,4,11,1,47.79993460001424,,,,,,,,,47.78569900000002,47.79993460001424,48.79736880003475,48.79736880003475,48.81400850007776,49.498984300065786,l,0.6945381000405177,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
78,80,162,1,5,12,6,49.514975500060245,,,,,,,,,49.50082030007616,49.514975500060245,50.5113858000841,50.5113858000841,50.52897560002748,51.04894960008096,t,0.5323799999896437,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
67,75,119,1,6,13,5,51.06402370007709,,,,,,,,,51.05085830006283,51.06402370007709,52.06056540005375,52.06056540005375,52.07753470004536,53.179334499989636,t,1.1163253999548033,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
67,75,119,2,0,14,5,53.19287400005851,,,,,,,,,53.18105610006023,53.19287400005851,54.19198810006492,54.19198810006492,54.19198810006492,54.99384500004817,t,0.7847308000782505,None,,,,04A,001,2024-11-15_11h18.27.418,DELAY_DISCOUNTING_TASK_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-11-15 11h18.45.660268 +0530,
