loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,thisRow.t,notes,guidelines.started,text.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,find_1.started,text_2.started,find_image_1.started,key_resp_2.started,find_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,baseline_sa.started,subtle_anger.started,n_1.started,n_2.started,n_3.started,n_4.started,n_5.started,n_6.started,mouse_resp.started,fix_1.started,baseline_sa.stopped,mouse_resp.x,mouse_resp.y,mouse_resp.leftButton,mouse_resp.midButton,mouse_resp.rightButton,mouse_resp.time,mouse_resp.corr,mouse_resp.clicked_name,main_sa.started,subtle_anger_main.started,mouse_resp_4.started,d_1.started,d_2.started,d_3.started,s_1.started,s_2.started,s_3.started,fix_2.started,main_sa.stopped,mouse_resp_4.x,mouse_resp_4.y,mouse_resp_4.leftButton,mouse_resp_4.midButton,mouse_resp_4.rightButton,mouse_resp_4.time,mouse_resp_4.corr,mouse_resp_4.clicked_name,find_3.started,text_4.started,key_resp_4.started,find_image__.started,find_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,baseline_ca.started,clear_anger.started,n_7.started,n_8.started,n_9.started,n_10.started,n_11.started,n_12.started,mouse_resp_3.started,fix_3.started,baseline_ca.stopped,mouse_resp_3.x,mouse_resp_3.y,mouse_resp_3.leftButton,mouse_resp_3.midButton,mouse_resp_3.rightButton,mouse_resp_3.time,mouse_resp_3.corr,mouse_resp_3.clicked_name,main_ca.started,clear_anger_main.started,mouse_resp_5.started,d_4.started,d_5.started,d_6.started,s_4.started,s_5.started,s_6.started,fix_4.started,main_ca.stopped,mouse_resp_5.x,mouse_resp_5.y,mouse_resp_5.leftButton,mouse_resp_5.midButton,mouse_resp_5.rightButton,mouse_resp_5.time,mouse_resp_5.corr,mouse_resp_5.clicked_name,thank_you.started,thanks.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0033577000140212476,0.012877899978775531,0.012877899978775531,12.459666199982166,space,12.424460700014606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
,,,,,,,,,,,,,,,,,12.459753900009673,12.542800900002476,12.542800900002476,12.542800900002476,25.523532700026408,space,12.974271299957763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
0,0,0,0,,,,,25.63908990001073,,,,,,,,,,,,,,,,,25.526284500025213,25.63908990001073,25.63908990001073,25.63908990001073,25.63908990001073,25.63908990001073,25.63908990001073,25.63908990001073,0.003870899963658303,25.63908990001073,28.63832149998052,[0.35546875],[0.3619791666666667],[1],[0],[0],[3.110004900023341],[1],['subtle_anger'],28.641438100021333,28.80231429997366,0.0007035000016912818,28.80231429997366,28.80231429997366,28.80231429997366,28.80231429997366,28.80231429997366,28.80231429997366,28.80231429997366,32.399437799991574,[-0.2265625],[-0.3151041666666667],[1],[0],[0],[3.756518500042148],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
1,0,1,0,,,,,32.41421580000315,,,,,,,,,,,,,,,,,32.402550900005735,32.41421580000315,32.41421580000315,32.41421580000315,32.41421580000315,32.41421580000315,32.41421580000315,32.41421580000315,0.0013424999779090285,32.41421580000315,35.33062889997382,[-0.3138020833333333],[-0.08203125],[1],[0],[0],[2.9263459999929182],[1],['subtle_anger'],35.332404599990696,35.344391499995254,0.000756199995521456,35.344391499995254,35.344391499995254,35.344391499995254,35.344391499995254,35.344391499995254,35.344391499995254,35.344391499995254,37.42958880000515,[-0.0859375],[-0.2903645833333333],[1],[0],[0],[2.0956200000364333],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
2,0,2,0,,,,,37.442633499973454,,,,,,,,,,,,,,,,,37.431815600022674,37.442633499973454,37.442633499973454,37.442633499973454,37.442633499973454,37.442633499973454,37.442633499973454,37.442633499973454,0.0010300999856553972,37.442633499973454,39.45975829998497,[-0.17578125],[-0.10546875],[1],[0],[0],[2.026384099968709],[1],['subtle_anger'],39.46181860001525,39.47366949997377,0.0011612999951466918,39.47366949997377,39.47366949997377,39.47366949997377,39.47366949997377,39.47366949997377,39.47366949997377,39.47366949997377,41.607015200017486,[0.33203125],[-0.09244791666666667],[1],[0],[0],[2.14325830002781],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
3,0,3,0,,,,,41.62205140001606,,,,,,,,,,,,,,,,,41.609690300014336,41.62205140001606,41.62205140001606,41.62205140001606,41.62205140001606,41.62205140001606,41.62205140001606,41.62205140001606,0.001547300023958087,41.62205140001606,44.18858650000766,[0.4192708333333333],[0.40625],[1],[0],[0],[2.5771448999876156],[1],['subtle_anger'],44.19057049998082,44.20230890001403,0.0007864999934099615,44.20230890001403,44.20230890001403,44.20230890001403,44.20230890001403,44.20230890001403,44.20230890001403,44.20230890001403,46.55261989997234,[0.4192708333333333],[-0.4348958333333333],[1],[0],[0],[2.360615500016138],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
4,0,4,0,,,,,46.566233600024134,,,,,,,,,,,,,,,,,46.554621700022835,46.566233600024134,46.566233600024134,46.566233600024134,46.566233600024134,46.566233600024134,46.566233600024134,46.566233600024134,0.001172900025267154,46.566233600024134,48.38445569999749,[-0.2721354166666667],[0.23958333333333334],[1],[0],[0],[1.8282583000254817],[1],['subtle_anger'],48.386392000014894,48.39826709998306,0.0007656000088900328,48.39826709998306,48.39826709998306,48.39826709998306,48.39826709998306,48.39826709998306,48.39826709998306,48.39826709998306,52.64734540000791,[0.2682291666666667],[0.1015625],[1],[0],[0],[4.25925250002183],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
5,0,5,0,,,,,52.662589200015645,,,,,,,,,,,,,,,,,52.65048469998874,52.662589200015645,52.662589200015645,52.662589200015645,52.662589200015645,52.662589200015645,52.662589200015645,52.662589200015645,0.0017757999594323337,52.662589200015645,54.96145120001165,[0.052083333333333336],[-0.08333333333333333],[1],[0],[0],[2.3092692000209354],[1],['subtle_anger'],54.96260909998091,54.974701099970844,0.0005239000311121345,54.974701099970844,54.974701099970844,54.974701099970844,54.974701099970844,54.974701099970844,54.974701099970844,54.974701099970844,58.25762859999668,[0.23046875],[-0.27734375],[1],[0],[0],[3.293825799948536],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
6,0,6,0,,,,,58.27199729997665,,,,,,,,,,,,,,,,,58.260280499991495,58.27199729997665,58.27199729997665,58.27199729997665,58.27199729997665,58.27199729997665,58.27199729997665,58.27199729997665,0.0015408999752253294,58.27199729997665,59.639741500024684,[-0.17578125],[0.23177083333333334],[1],[0],[0],[1.3776625000173226],[1],['subtle_anger'],59.64169830002356,59.65396630001487,0.000770999991800636,59.65396630001487,59.65396630001487,59.65396630001487,59.65396630001487,59.65396630001487,59.65396630001487,59.65396630001487,62.20262090000324,[0.4322916666666667],[-0.109375],[1],[0],[0],[2.559492600033991],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
7,0,7,0,,,,,62.21830459998455,,,,,,,,,,,,,,,,,62.204816000012215,62.21830459998455,62.21830459998455,62.21830459998455,62.21830459998455,62.21830459998455,62.21830459998455,62.21830459998455,0.001171100011561066,62.21830459998455,64.08477860002313,[0.08333333333333333],[-0.3880208333333333],[1],[0],[0],[1.8784825000329874],[1],['subtle_anger'],64.08597979997285,64.09949069999857,0.0005858999793417752,64.09949069999857,64.09949069999857,64.09949069999857,64.09949069999857,64.09949069999857,64.09949069999857,64.09949069999857,65.6840610000072,[-0.23567708333333334],[-0.033854166666666664],[1],[0],[0],[1.5968666999833658],[1],['subtle_anger_main'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04S,001,2024-12-03_20h12.43.248,SOLO_PROJECT_EXPERIMENT_NUTAN_KAIN_AU2220019,2024.1.5,None,2024-12-03 20h13.03.712902 +0530,
