trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.008600299712270498,0.02470119995996356,0.5087150000035763,,,,,,,,,,,,,,,,,,,,,,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
,,,,,,,,,0.5087645999155939,0.5252279997803271,0.5252279997803271,4.356590199749917,space,3.8140476001426578,None,,,,,,,,,,,,,,,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
0,0,0,0,4.384660699870437,,,,,,,,,,,,4.359021599870175,5,0.019989800173789263,4.384660699870437,4.384660699870437,6.045293599832803,[0.296875],[0.4466145833333333],[1],[0],[0],[1.6857175999321043],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
1,0,1,0,6.073834599927068,,,,,,,,,,,,6.050554799847305,5,0.015342199709266424,6.073834599927068,6.073834599927068,7.933852099813521,[-0.4635416666666667],[-0.14713541666666666],[1],[0],[0],[1.8828259999863803],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
2,0,2,0,7.98508849972859,,,,,,,,,,,,7.937047000043094,10,0.0349306003190577,7.98508849972859,7.98508849972859,9.899353200104088,[0.4270833333333333],[-0.0546875],[1],[0],[0],[1.961678999941796],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
3,0,3,0,9.957248599734157,,,,,,,,,,,,9.904578699730337,10,0.039648199919611216,9.957248599734157,9.957248599734157,12.22994689969346,[-0.4661458333333333],[0.30859375],[1],[0],[0],[2.3249458000063896],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
4,0,4,0,12.285387299954891,,,,,,,,,,,,12.232919000089169,10,0.03797969967126846,12.285387299954891,12.285387299954891,14.144924900028855,[0.19140625],[-0.3893229166666667],[1],[0],[0],[1.9115252997726202],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
5,0,5,0,14.20445750001818,,,,,,,,,,,,14.1486710999161,10,0.04242950025945902,14.20445750001818,14.20445750001818,15.74335639970377,[0.4388020833333333],[0.20963541666666666],[1],[0],[0],[1.5942393001168966],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
6,0,6,0,15.786212099716067,,,,,,,,,,,,15.746317199897021,10,0.03005579998716712,15.786212099716067,15.786212099716067,17.674754299689084,[0.10807291666666667],[-0.19921875],[1],[0],[0],[1.9280103999190032],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
7,0,7,0,17.707674299832433,,,,,,,,,,,,17.67958249989897,5,0.021771200001239777,17.707674299832433,17.707674299832433,18.989957799669355,[-0.2604166666666667],[0.45703125],[1],[0],[0],[1.3098817002028227],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
8,0,8,0,19.015042500104755,,,,,,,,,,,,18.99284469988197,5,0.015997800044715405,19.015042500104755,19.015042500104755,20.588988800067455,[0.4817708333333333],[-0.14322916666666666],[1],[0],[0],[1.595668500289321],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
9,0,9,0,20.631898900028318,,,,,,,,,,,,20.59216329967603,10,0.02984720002859831,20.631898900028318,20.631898900028318,22.46919670002535,[-0.046875],[0.1796875],[1],[0],[0],[1.876535799819976],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
10,0,10,0,22.525387600064278,,,,,,,,,,,,22.472912800032645,10,0.039195199962705374,22.525387600064278,22.525387600064278,23.901875900104642,[0.3151041666666667],[-0.44921875],[1],[0],[0],[1.4285524999722838],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
11,0,11,0,23.944918499793857,,,,,,,,,,,,23.9049652996473,10,0.03015129966661334,23.944918499793857,23.944918499793857,26.049571599811316,[-0.296875],[0.37109375],[1],[0],[0],[2.1441796999424696],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
12,0,12,0,26.075179900042713,,,,,,,,,,,,26.0524943000637,5,0.015830500051379204,26.075179900042713,26.075179900042713,28.11435650009662,[0.3333333333333333],[0.4635416666666667],[1],[0],[0],[2.061425999738276],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
13,0,13,0,28.140037899836898,,,,,,,,,,,,28.1174047999084,5,0.015570399817079306,28.140037899836898,28.140037899836898,29.663144999649376,[-0.46484375],[0.2981770833333333],[1],[0],[0],[1.5453170998953283],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
14,0,14,0,29.707043199799955,,,,,,,,,,,,29.666068899910897,10,0.029628499876707792,29.707043199799955,29.707043199799955,30.74555359967053,[-0.2864583333333333],[0.4075520833333333],[1],[0],[0],[1.0790876001119614],['target'],,,,A1,001,2024-10-07_19h58.30.327,untitled,2024.1.5,None,2024-10-07 19h59.06.540364 +0530,
