trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13,0,13,0,35.378910299856216,,,,,,,,,,,,35.3566116001457,5,0.016146200243383646,35.378910299856216,35.378910299856216,36.91859500017017,[-0.2890625],[0.4609375],[1],[0],[0],[1.561558600049466],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
14,0,14,0,36.96171939978376,,,,,,,,,,,,36.92150489985943,10,0.02975319977849722,36.96171939978376,36.96171939978376,38.43354499991983,[0.044270833333333336],[0.5],[1],[0],[0],[1.5116225997917354],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
15,0,15,0,38.458724400028586,,,,,,,,,,,,38.43641219986603,5,0.01571360044181347,38.458724400028586,38.458724400028586,40.49880350008607,[0.3971354166666667],[-0.3294270833333333],[1],[0],[0],[2.061947099864483],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
16,0,16,0,40.524132600054145,,,,,,,,,,,,40.50173840019852,5,0.015847899951040745,40.524132600054145,40.524132600054145,42.113872999791056,[-0.23697916666666666],[0.16145833333333334],[1],[0],[0],[1.6117134001106024],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
17,0,17,0,42.15809539984912,,,,,,,,,,,,42.11691479990259,10,0.030726200435310602,42.15809539984912,42.15809539984912,43.32977249985561,[-0.0390625],[0.28125],[1],[0],[0],[1.2124470002017915],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
18,0,18,0,43.37465489981696,,,,,,,,,,,,43.332663299981505,10,0.03152700001373887,43.37465489981696,43.37465489981696,44.810510999988765,[0.06770833333333333],[-0.17708333333333334],[1],[0],[0],[1.477261799853295],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
19,0,19,0,44.8549819001928,,,,,,,,,,,,44.81344070006162,10,0.03120799968019128,44.8549819001928,44.8549819001928,46.69279310014099,[-0.17578125],[0.453125],[1],[0],[0],[1.8789305002428591],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
20,0,20,0,46.73574509983882,,,,,,,,,,,,46.69563309988007,10,0.029699400067329407,46.73574509983882,46.73574509983882,48.007654199842364,[-0.10546875],[0.01953125],[1],[0],[0],[1.3116693003103137],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
21,0,21,0,48.032358900178224,,,,,,,,,,,,48.010803000070155,5,0.015525000169873238,48.032358900178224,48.032358900178224,49.2233306998387,[-0.484375],[-0.059895833333333336],[1],[0],[0],[1.2121214997023344],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
22,0,22,0,49.24850700004026,,,,,,,,,,,,49.22617990011349,5,0.015658800024539232,49.24850700004026,49.24850700004026,50.82233909983188,[0.06510416666666667],[-0.3697916666666667],[1],[0],[0],[1.5957195996306837],['target'],,,,A2,001,2024-10-07_20h11.13.283,untitled,2024.1.5,None,2024-10-07 20h11.23.586085 +0530,
