trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Hello.started,text_2.started,Hello.stopped,guidelines.started,guideline.started,key_resp.started,guidelines.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,mouse.started,polygon.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Thank_you.started,text_3.started,Thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
13,0,13,0,29.616653999779373,,,,,,,,,,,,29.576466499827802,10,0.029575399588793516,29.616653999779373,29.616653999779373,31.456010300200433,[0.2864583333333333],[0.4440104166666667],[1],[0],[0],[1.8791235000826418],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
14,0,14,0,31.48148229997605,,,,,,,,,,,,31.45894950022921,5,0.015596600249409676,31.48148229997605,31.48148229997605,33.370953099802136,[-0.3151041666666667],[0.052083333333333336],[1],[0],[0],[1.911457599606365],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
15,0,15,0,33.39928789995611,,,,,,,,,,,,33.37605149997398,5,0.01620269985869527,33.39928789995611,33.39928789995611,35.05152409989387,[0.3567708333333333],[0.16796875],[1],[0],[0],[1.675065899733454],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
16,0,16,0,35.07726630009711,,,,,,,,,,,,35.05451019993052,5,0.015781600028276443,35.07726630009711,35.07726630009711,37.25030939979479,[-0.14973958333333334],[0.484375],[1],[0],[0],[2.1953703998588026],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
17,0,17,0,37.27771659987047,,,,,,,,,,,,37.25378239993006,5,0.016162500251084566,37.27771659987047,37.27771659987047,39.130861499812454,[-0.4322916666666667],[-0.3502604166666667],[1],[0],[0],[1.8766860999166965],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
18,0,18,0,39.15649939980358,,,,,,,,,,,,39.133834099862725,5,0.015557699836790562,39.15649939980358,39.15649939980358,40.87926519988105,[0.1328125],[0.0013020833333333333],[1],[0],[0],[1.7450019996613264],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
19,0,19,0,40.90534499986097,,,,,,,,,,,,40.88234829995781,5,0.015873499680310488,40.90534499986097,40.90534499986097,42.444470799993724,[-0.2526041666666667],[-0.2942708333333333],[1],[0],[0],[1.5616909000091255],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
20,0,20,0,42.47115209978074,,,,,,,,,,,,42.44750430015847,5,0.01639780029654503,42.47115209978074,42.47115209978074,43.8762811999768,[-0.28515625],[0.20572916666666666],[1],[0],[0],[1.4283408001065254],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
21,0,21,0,43.90229600016028,,,,,,,,,,,,43.87932009994984,5,0.015991000458598137,43.90229600016028,43.90229600016028,45.70816250005737,[0.22526041666666666],[0.43359375],[1],[0],[0],[1.8284266996197402],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
22,0,22,0,45.73650259990245,,,,,,,,,,,,45.71174999978393,5,0.01711949985474348,45.73650259990245,45.73650259990245,47.106951099820435,[-0.05078125],[0.3841145833333333],[1],[0],[0],[1.3946829000487924],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
23,0,23,0,47.140944600105286,,,,,,,,,,,,47.11029289988801,5,0.020799499936401844,47.140944600105286,47.140944600105286,48.538439999800175,[0.3229166666666667],[0.2669270833333333],[1],[0],[0],[1.427534599788487],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
24,0,24,0,48.593024500180036,,,,,,,,,,,,48.542084199842066,10,0.03808379964902997,48.593024500180036,48.593024500180036,50.836099800188094,[0.23307291666666666],[-0.3854166666666667],[1],[0],[0],[2.2934154998511076],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
25,0,25,0,50.879071299917996,,,,,,,,,,,,50.83936179988086,10,0.029907400254160166,50.879071299917996,50.879071299917996,53.23333049984649,[-0.20182291666666666],[0.24348958333333334],[1],[0],[0],[2.393579199910164],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
26,0,26,0,53.27704000007361,,,,,,,,,,,,53.23628789978102,10,0.030684600118547678,53.27704000007361,53.27704000007361,54.39983659982681,[-0.11197916666666667],[0.1796875],[1],[0],[0],[1.1631406000815332],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
27,0,27,0,54.44340620003641,,,,,,,,,,,,54.40294010005891,10,0.030283399857580662,54.44340620003641,54.44340620003641,56.214064499828964,[0.08463541666666667],[-0.10026041666666667],[1],[0],[0],[1.8107006000354886],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
28,0,28,0,56.239206600002944,,,,,,,,,,,,56.217199500184506,5,0.015427599661052227,56.239206600002944,56.239206600002944,57.8296360000968,[-0.19401041666666666],[-0.21614583333333334],[1],[0],[0],[1.6120082000270486],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
29,0,29,0,57.85485350014642,,,,,,,,,,,,57.83263899991289,5,0.015438899863511324,57.85485350014642,57.85485350014642,59.61144350003451,[-0.1328125],[0.3333333333333333],[1],[0],[0],[1.778274199925363],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
30,0,30,0,59.65753239998594,,,,,,,,,,,,59.61440060008317,10,0.030298199970275164,59.65753239998594,59.65753239998594,61.042803099844605,[-0.34375],[0.4752604166666667],[1],[0],[0],[1.4279444003477693],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
31,0,31,0,61.06901919981465,,,,,,,,,,,,61.04578279983252,5,0.015930599998682737,61.06901919981465,61.06901919981465,62.84126430004835,[0.2526041666666667],[-0.05859375],[1],[0],[0],[1.7949723000638187],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
32,0,32,0,62.8870987999253,,,,,,,,,,,,62.845634900033474,10,0.030799700412899256,62.8870987999253,62.8870987999253,64.5569903999567,[-0.026041666666666668],[0.12630208333333334],[1],[0],[0],[1.710917599964887],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
33,0,33,0,64.58307150006294,,,,,,,,,,,,64.55998610006645,5,0.015884699765592813,64.58307150006294,64.58307150006294,66.40472250012681,[0.16276041666666666],[0.06640625],[1],[0],[0],[1.8443057001568377],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
34,0,34,0,66.43054130021483,,,,,,,,,,,,66.40761299990118,5,0.015535699669271708,66.43054130021483,66.43054130021483,68.03657690016553,[-0.2513020833333333],[-0.1796875],[1],[0],[0],[1.6285307998768985],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
35,0,35,0,68.06257090019062,,,,,,,,,,,,68.03949389979243,5,0.016055800020694733,68.06257090019062,68.06257090019062,70.28398919990286,[0.48046875],[-0.0234375],[1],[0],[0],[2.2440980998799205],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
36,0,36,0,70.31171989999712,,,,,,,,,,,,70.28690219996497,5,0.017418700270354748,70.31171989999712,70.31171989999712,71.58293920010328,[0.15234375],[-0.010416666666666666],[1],[0],[0],[1.2955934996716678],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
37,0,37,0,71.60894339997321,,,,,,,,,,,,71.58589700004086,5,0.01571460021659732,71.60894339997321,71.60894339997321,73.16454729996622,[0.21614583333333334],[0.4270833333333333],[1],[0],[0],[1.578231600113213],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
38,0,38,0,73.20911659998819,,,,,,,,,,,,73.16751749999821,10,0.030865299981087446,73.20911659998819,73.20911659998819,75.4284581001848,[-0.15494791666666666],[-0.4049479166666667],[1],[0],[0],[2.260468500200659],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
39,0,39,0,75.45514219999313,,,,,,,,,,,,75.43135390011594,5,0.01636800030246377,75.45514219999313,75.45514219999313,77.0110162999481,[-0.0234375],[-0.06380208333333333],[1],[0],[0],[1.5792441996745765],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
40,0,40,0,77.03680060012266,,,,,,,,,,,,77.01388779981062,5,0.01543120015412569,77.03680060012266,77.03680060012266,78.57536819996312,[-0.4661458333333333],[-0.3203125],[1],[0],[0],[1.5609836000949144],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
41,0,41,0,78.61955749988556,,,,,,,,,,,,78.57828979985788,10,0.03006109967827797,78.61955749988556,78.61955749988556,81.43958040000871,[-0.21614583333333334],[0.3776041666666667],[1],[0],[0],[2.860864100046456],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
42,0,42,0,81.48386920010671,,,,,,,,,,,,81.44285670015961,10,0.030028500128537416,81.48386920010671,81.48386920010671,83.5372600001283,[0.3294270833333333],[-0.00390625],[1],[0],[0],[2.0939618004485965],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
43,0,43,0,83.58265260001644,,,,,,,,,,,,83.54030890017748,10,0.0310035003349185,83.58265260001644,83.58265260001644,85.0035166000016,[0.2877604166666667],[-0.053385416666666664],[1],[0],[0],[1.4627358000725508],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
44,0,44,0,85.0476416000165,,,,,,,,,,,,85.00642179977149,10,0.029769600369036198,85.0476416000165,85.0476416000165,86.90079349977896,[0.055989583333333336],[0.029947916666666668],[1],[0],[0],[1.8939467002637684],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
45,0,45,0,86.92683209991083,,,,,,,,,,,,86.90387400006875,5,0.01532740006223321,86.92683209991083,86.92683209991083,88.94995190016925,[0.12239583333333333],[-0.2864583333333333],[1],[0],[0],[2.0456206002272666],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
46,0,46,0,88.97722159978002,,,,,,,,,,,,88.95280280010775,5,0.016274599824100733,88.97722159978002,88.97722159978002,90.76342350011691,[0.4739583333333333],[-0.25390625],[1],[0],[0],[1.8102151998318732],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
47,0,47,0,90.8083990002051,,,,,,,,,,,,90.76634569978341,10,0.02973160007968545,90.8083990002051,90.8083990002051,92.9110900000669,[-0.4270833333333333],[-0.09895833333333333],[1],[0],[0],[2.144379800185561],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
48,0,48,0,92.93827949976549,,,,,,,,,,,,92.91407370008528,5,0.016359900124371052,92.93827949976549,92.93827949976549,95.01041329978034,[0.3971354166666667],[-0.0859375],[1],[0],[0],[2.095782299991697],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
49,0,49,0,95.0542359999381,,,,,,,,,,,,95.01334499986842,10,0.029789799824357033,95.0542359999381,95.0542359999381,97.10763779981062,[-0.4322916666666667],[0.00390625],[1],[0],[0],[2.0937761003151536],['target'],,,,N3,001,2024-10-07_20h31.10.565,untitled,2024.1.5,None,2024-10-07 20h31.27.406187 +0530,
